Alto da Boa Vista                 - Síntese


Dados Cadastrais do Bairro                                                                                                                            
Data do Decreto de Criação;(          );23/7/1981;&nbsp;

Unidades de Conservação                                                                                                                               
Área Total;(2005      );31.327.177,94;m2                            

Unidades de Conservação - APA                                                                                                                         
Área Total;(2005      );0;m2                            

Unidades de Conservação - APARU                                                                                                                       
Área Total  ;(2005      );30.824.583,84;m2                            

Unidades de Conservação - Reservas                                                                                                                    
Área Total  ;(2005      );0,00;m2                            

Unidades de Conservação - Parques                                                                                                                     
Área Total;(2005      );20.443.575,09;m2                            

Unidades de Conservação - ARIE                                                                                                                        
Área Total  ;(2005      );0,00;m2                            

Áreas Legalmente Protegidas                                                                                                                           
Área de Unidades Tombadas;(2003      );0,00;m2                            
Área de outros bens legalmente preservados;(2003      );418.171,93;m2                            

Cobertura Vegetal e Uso das Terras                                                                                                                    
Floresta;(2011      );0,00;&nbsp;
Vegetação Secundária ;(2011      );2.784,76;&nbsp;
Restinga;(2011      );0,00;&nbsp;
Mangue;(2011      );0,00;&nbsp;
Apicum;(2011      );0,00;&nbsp;
Brejo;(2011      );0,00;&nbsp;
Área Urbana;(2011      );138,36;&nbsp;
Agricultura;(2011      );0,00;&nbsp;
Vegetação Arbóreo-arbustiva;(2011      );83,22;&nbsp;
Vegetação Gramíneo-lenhosa;(2011      );13,09;&nbsp;
Extração Mineral;(2011      );0,00;&nbsp;
Solo Exposto;(2011      );2,07;&nbsp;
Afloramento Rochoso;(2011      );0,71;&nbsp;
Praia;(2011      );0,00;&nbsp;
Reflorestamento;(2011      );51,98;&nbsp;

Mata Atlântica e Ecossistemas Associados, Áreas Antropizadas e Outras                                                                                 
Mata Atlântica e ecossistemas;(2011      );2.784,76;ha                            
Áreas Urbanas e Antropizadas;(2011      );236,74;ha                            
Outras classes;(2011      );128,08;ha                            

Distribuição da Cobertura Vegetal e Uso das Terras                                                                                                    
áreadobairro;(2011      );3.149,57;ha                            
Floresta;(2011      );0,00;%                             
Veg-Secundária;(2011      );88,42;%                             
Restinga;(2011      );0,00;%                             
Mangue;(2011      );0,00;%                             
Apicum;(2011      );0,00;%                             
Brejo;(2011      );0,00;%                             
ÁreaUrbana;(2011      );4,39;%                             
Agricultura;(2011      );0,00;%                             
Veg-Arbóreo-arbustiva;(2011      );2,64;%                             
Veg-Gramíneo-lenhosa;(2011      );0,42;%                             
ExtraçãoMineral;(2011      );0,00;%                             
SoloExposto;(2011      );0,07;%                             
AfloramentoRochoso;(2011      );0,02;%                             
Praia;(2011      );0,00;%                             
Reflorestamento;(2011      );1,65;%                             

Pessoas Residentes                                                                                                                                    
Total da População;(2010      );9343;&nbsp;

Pessoas Residentes Alfabetizadas por Sexo                                                                                                             
Homens;(2000      );3.414;&nbsp;
Mulheres;(2000      );3.821;&nbsp;

Pessoas Residentes Não Alfabetizadas por Sexo                                                                                                         
Homens;(2000      );196;&nbsp;
Mulheres;(2000      );253;&nbsp;

Responsáveis pelos Domicílios Particulares por sexo                                                                                                   
Masculino;(2000      );1.555;&nbsp;
Feminino;(2000      );847;&nbsp;

Em Geral                                                                                                                                              
Total de Domicílios;(2000      );2.596;&nbsp;
